crossroad,amount
C,6.3
C,8.1
C,7.2
C,3.6
C,9.0
C,8.0
C,2.0
C,5.0
C,1.0
C,8.0
C,8.0
C,8.0
C,3.3
C,5.5
C,6.0
C,0.0
C,12.0
C,5.2
C,5.6000000000000005
C,2.8000000000000003
C,14.0
B,4.800000000000001
A,0.0
A,0.0
D,2.6
D,3.0
D,3.8000000000000003
D,4.6000000000000005
G,8.1
G,15.5
H,9.9
H,8.4
I,44.8
C,1.4000000000000001
C,1.6
B,12.8
B,14.4
B,15.200000000000001
A,4.0
D,19.200000000000003
G,7.8
G,0.0
G,8.4
H,5.0
I,12.9
C,1.4000000000000001
C,1.7000000000000002
B,13.299999999999999
A,0.0
A,0.0
D,25.2
G,9.0
G,9.0
H,9.299999999999999
H,6.800000000000001
H,7.800000000000001
H,9.8
I,21.599999999999998
C,1.4000000000000001
C,1.3
C,1.3
C,1.2000000000000002
C,1.2000000000000002
C,2.4000000000000004
C,1.1
C,1.1
C,1.1
C,6.0
C,1.0
C,1.0
C,0.9
C,0.8
C,0.9
C,0.8
C,3.2
C,1.6
C,0.7000000000000001
C,0.7000000000000001
C,0.7000000000000001
C,0.7000000000000001
C,0.6000000000000001
C,0.7000000000000001
C,0.6000000000000001
C,5.4
C,0.6000000000000001
C,0.7000000000000001
C,0.7000000000000001
C,4.2
C,2.1
C,0.7000000000000001
C,3.5999999999999996
C,3.0
C,0.6000000000000001
C,5.6000000000000005
C,0.6000000000000001
C,0.6000000000000001
C,0.6000000000000001
C,0.6000000000000001
C,0.7000000000000001
C,2.8000000000000003
C,0.7000000000000001
C,6.3
C,0.7000000000000001
C,0.7000000000000001
C,0.8
C,2.4
C,2.4
B,7.2
A,4.5
D,2.0
G,3.5999999999999996
G,5.7
G,5.7
G,7.5
H,6.800000000000001
I,17.7
C,1.6
B,15.200000000000001
A,0.0
A,4.4
A,0.0
A,0.0
A,19.0
D,8.8
D,37.6
G,11.7
H,7.800000000000001
I,4.5
C,3.4000000000000004
C,3.8000000000000003
C,4.0
C,4.4
C,5.0
C,4.800000000000001
C,5.0
C,5.6000000000000005
C,15.0
C,29.0
B,17.4
A,0.0
D,39.2
G,15.299999999999999
G,15.6
H,2.6
H,2.6
H,13.5
I,4.5
C,3.6
B,18.400000000000002
B,32.800000000000004
A,0.0
A,0.0
D,84.0
G,2.8000000000000003
H,1.8
I,3.3
C,2.6
B,14.4
A,0.0
D,0.0
D,2.6
D,12.8
G,4.5
H,12.0
I,6.0
C,4.0
C,5.2
C,21.7
C,7.2
B,52.0
A,0.0
A,0.0
A,0.0
A,0.0
A,0.0
A,0.0
D,6.4
G,5.6
H,0.6000000000000001
H,1.6
H,2.4000000000000004
H,3.6
H,4.6000000000000005
H,5.0
I,36.0
C,7.2
B,12.8
B,15.200000000000001
A,0.0
D,5.0
D,6.0
G,11.4
H,25.5
I,15.299999999999999
C,4.2
C,3.0
C,3.6
B,14.4
A,11.4
D,16.8
G,5.7
G,18.0
H,1.6
H,1.8
H,2.8000000000000003
H,4.0
H,4.6000000000000005
H,6.6000000000000005
H,6.6000000000000005
H,7.2
H,8.0
H,8.8
I,22.8
C,14.0
B,12.6
A,0.0
D,14.4
G,5.1
H,0.8
H,1.4000000000000001
H,2.0
H,2.2
H,3.0
H,4.800000000000001
H,6.6000000000000005
I,17.7
C,2.8000000000000003
C,13.5
B,11.200000000000001
A,0.0
A,0.0
D,21.6
G,8.7
G,9.0
H,4.2
H,3.8000000000000003
I,3.5
C,3.2
B,15.200000000000001
A,0.0
A,0.0
D,21.6
G,8.4
G,8.4
H,7.6000000000000005
I,4.5
C,3.4000000000000004
B,15.200000000000001
B,16.8
B,16.8
B,17.6
B,18.400000000000002
B,19.200000000000003
B,21.6
B,22.400000000000002
B,23.200000000000003
A,0.0
D,37.6
G,17.099999999999998
G,18.9
H,2.6
H,2.8000000000000003
I,14.4
C,3.2
C,3.8000000000000003
C,4.4
B,16.0
A,0.0
A,0.0
D,49.6
G,4.8
G,5.7
H,3.4000000000000004
H,3.6
H,3.8000000000000003
I,2.3000000000000003
I,8.1
I,16.0
C,3.8000000000000003
C,8.6
B,48.0
A,0.0
D,12.8
G,4.8
G,1.6
G,4.5
G,4.5
G,4.8
G,0.0
G,5.1
G,5.1
G,5.1
H,7.6000000000000005
I,6.6
C,6.0
B,44.0
A,0.0
A,0.0
A,0.0
A,0.0
A,0.0
D,27.200000000000003
G,25.2
H,5.0
I,10.5
C,12.0
C,14.200000000000001
B,11.200000000000001
B,15.200000000000001
B,18.400000000000002
A,0.0
D,3.0
D,23.200000000000003
G,15.6
H,5.6000000000000005
H,6.800000000000001
H,8.4
I,22.5
C,2.8000000000000003
C,3.4000000000000004
B,16.0
A,0.0
D,20.8
D,24.8
G,10.2
H,5.4
I,10.2
C,5.6000000000000005
C,2.6
C,2.4000000000000004
C,2.2
C,2.0
C,2.0
C,2.0
C,2.0
C,4.5
B,9.0
B,12.8
A,0.0
D,15.200000000000001
D,21.6
G,8.4
G,8.7
H,6.2
H,6.6000000000000005
H,7.2
I,19.2
C,2.8000000000000003
C,3.0
C,3.4000000000000004
C,3.4000000000000004
C,3.6
C,3.6
C,4.0
C,4.2
C,4.4
C,4.800000000000001
C,5.0
C,5.800000000000001
C,7.6000000000000005
B,38.7
A,0.0
A,0.0
A,0.0
D,50.400000000000006
G,16.2
H,10.200000000000001
H,10.8
I,29.4
C,3.2
C,4.0
C,4.4
C,5.2
C,5.800000000000001
B,27.200000000000003
A,0.0
A,0.0
A,36.9
D,31.200000000000003
G,12.6
G,12.9
H,11.0
H,11.0
I,4.8
I,14.4
C,3.8000000000000003
C,4.2
C,4.4
C,4.6000000000000005
C,4.800000000000001
C,5.0
C,12.5
C,5.2
C,5.4
C,5.800000000000001
C,11.600000000000001
C,6.0
C,6.4
B,28.8
A,0.0
A,0.0
D,42.400000000000006
G,15.6
G,14.7
H,0.0
H,0.0
I,6.3
C,4.800000000000001
B,24.8
A,0.0
A,0.0
A,0.0
A,0.0
A,0.0
A,0.0
A,0.0
D,91.2
G,4.2
G,3.9
H,0.0
H,0.0
I,5.1
I,7.8
C,6.6000000000000005
C,6.2
C,6.6000000000000005
C,5.800000000000001
C,18.9
C,23.400000000000002
B,21.6
A,0.0
D,11.200000000000001
G,10.8
H,0.0
H,0.0
H,0.0
H,0.0
I,7.5
I,24.3
I,9.299999999999999
I,11.7
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
B,168.0
A,0.0
D,12.8
D,15.200000000000001
D,18.0
G,5.1
G,6.0
H,0.0
H,13.0
I,7.8
C,0.0
C,12.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,22.2
B,12.0
A,0.0
A,0.0
A,18.900000000000002
D,16.8
D,19.200000000000003
D,20.0
G,7.199999999999999
G,17.5
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,17.7
I,30.0
C,2.8000000000000003
C,13.600000000000001
B,14.4
A,0.0
A,0.0
A,0.0
D,22.400000000000002
G,0.0
G,8.1
G,8.4
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
I,36.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
C,0.0
B,26.400000000000002
A,0.0
A,0.0
D,35.2
G,13.2
G,13.2
H,0.0
I,24.0
C,2.8000000000000003
C,3.8000000000000003
C,4.4
B,20.0
B,25.6
B,26.400000000000002
A,3.5
D,34.4
G,13.5
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,21.599999999999998
I,36.6
C,3.2
C,3.8000000000000003
C,4.6000000000000005
B,21.6
B,24.8
A,0.0
A,0.0
A,0.0
D,39.2
G,15.899999999999999
G,15.6
G,15.299999999999999
H,0.0
H,0.0
I,4.2
C,3.2
B,12.8
A,0.0
D,20.0
G,9.0
G,9.0
G,9.6
G,13.2
H,0.0
H,0.0
H,0.0
I,7.199999999999999
I,8.1
C,6.2
B,31.200000000000003
A,0.0
D,69.60000000000001
G,3.9
G,2.8000000000000003
G,4.5
G,4.8
G,4.8
H,0.0
H,2.1
H,0.0
H,0.0
I,12.0
C,10.0
C,11.4
B,63.2
A,0.0
A,0.0
A,0.0
A,0.0
A,0.0
D,12.8
G,4.5
H,0.0
H,0.0
H,0.0
H,0.0
I,4.800000000000001
I,7.8
I,8.4
I,6.4
C,22.5
C,10.0
C,10.600000000000001
B,70.4
A,0.0
D,16.0
G,6.3
H,9.600000000000001
I,7.5
I,8.1
I,21.6
C,6.4
B,12.0
A,0.0
A,0.0
A,0.0
A,0.0
A,6.3
A,0.0
D,20.8
G,18.900000000000002
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
I,50.699999999999996
C,2.8000000000000003
B,12.8
A,0.0
D,16.8
G,6.3
G,7.199999999999999
G,7.199999999999999
G,7.199999999999999
G,7.5
G,7.5
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,59.0
I,18.0
I,25.8
C,2.8000000000000003
C,2.6
C,3.0
C,3.4000000000000004
B,15.200000000000001
A,0.0
D,19.200000000000003
G,7.8
G,7.8
G,8.1
H,33.0
I,9.9
C,2.8000000000000003
C,3.4000000000000004
C,4.4
B,20.0
A,0.0
D,33.0
G,9.9
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,83.2
I,37.5
C,3.2
B,15.200000000000001
A,0.0
D,20.8
G,8.4
G,9.6
G,32.4
H,0.0
H,24.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
I,4.8
C,3.6
B,17.6
A,0.0
A,0.0
A,0.0
D,34.4
G,15.0
H,0.0
H,1.3
I,3.5999999999999996
I,6.0
C,4.800000000000001
C,4.800000000000001
C,5.4
B,25.6
A,0.0
A,36.0
D,28.8
G,4.8
G,4.8
G,4.8
G,5.1
G,5.1
H,0.0
H,0.0
H,0.0
H,0.0
I,10.2
C,8.4
C,9.0
C,10.0
C,10.200000000000001
B,52.0
A,0.0
A,0.0
A,0.0
D,12.0
G,4.5
H,0.0
H,0.0
H,0.0
H,0.0
H,0.0
I,9.9
C,9.0
C,11.600000000000001
C,12.4
C,12.8
C,13.600000000000001
C,14.4
C,14.8
C,17.0
C,17.0
C,17.400000000000002
C,18.2
C,18.400000000000002
C,18.400000000000002
C,18.400000000000002
B,88.0
A,9.6
D,10.4
G,3.9
H,0.0
H,0.0
H,0.0
I,6.8999999999999995
C,8.0
C,7.6000000000000005
C,7.6000000000000005
C,6.6000000000000005
C,7.6000000000000005
C,7.6000000000000005
C,6.4
C,8.1
C,6.8999999999999995
C,7.8
C,7.199999999999999
C,7.5
C,9.0
C,10.2
C,11.4
C,12.299999999999999
C,18.599999999999998
C,19.2
C,12.0
C,13.200000000000001
C,13.600000000000001
C,13.200000000000001
B,12.8
A,0.0
A,20.0
D,15.200000000000001
G,4.8
H,0.0
I,10.799999999999999
C,2.8000000000000003
C,3.0
C,3.2
C,3.4000000000000004
C,3.4000000000000004
C,3.6
B,16.8
A,0.0
A,0.0
A,5.0
D,24.0
D,25.6
D,28.8
G,21.0
H,16.8
I,20.4
C,2.8000000000000003
B,11.200000000000001
B,13.600000000000001
A,0.0
D,17.6
D,5.800000000000001
G,11.1
G,11.4
H,30.799999999999997
I,17.4
C,2.8000000000000003
C,3.2
C,3.6
C,14.0
B,15.200000000000001
B,20.0
A,0.0
D,26.400000000000002
D,28.8
D,23.4
G,13.5
H,60.0
I,16.5
C,3.2
C,3.6
B,16.0
A,0.0
D,23.200000000000003
G,5.1
H,7.699999999999999
I,4.5
I,5.3999999999999995
C,4.0
C,5.0
C,5.6000000000000005
C,5.4
C,5.6000000000000005
B,26.400000000000002
B,29.6
A,0.0
A,0.0
D,51.2
G,18.3
G,18.0
H,8.399999999999999
I,10.8
I,4.2
C,3.2
C,3.8000000000000003
B,19.200000000000003
A,0.0
D,42.400000000000006
G,4.8
G,4.8
G,4.8
G,4.8
H,7.0
I,3.3
I,4.5
C,3.6
C,5.0
B,28.8
A,0.0
D,12.8
D,18.400000000000002
G,6.8999999999999995
G,6.8999999999999995
G,7.5
H,0.0
H,1.8
I,4.800000000000001
I,9.9
C,22.5
B,49.6
B,51.2
A,0.0
D,16.0
G,8.4
H,14.7
H,14.0
H,14.7
H,14.7
I,7.5
C,8.4
B,12.8
B,14.4
B,13.600000000000001
A,0.0
D,4.6000000000000005
G,8.4
G,2.8000000000000003
H,25.9
I,11.4
I,15.6
C,2.8000000000000003
C,3.0
C,3.4000000000000004
C,3.8000000000000003
C,4.4
C,2.8000000000000003
B,23.200000000000003
A,0.0
A,0.0
A,0.0
A,0.0
D,35.2
G,13.5
H,2.6
H,18.2
I,19.0
C,2.8000000000000003
C,3.4000000000000004
C,4.2
B,18.400000000000002
A,0.0
A,0.0
A,14.5
D,25.6
G,10.2
H,14.0
I,15.6
C,2.8000000000000003
B,12.8
B,16.8
A,0.0
A,0.0
D,26.400000000000002
G,10.5
H,30.799999999999997
H,29.4
H,30.799999999999997
I,16.5
C,3.2
C,3.4000000000000004
C,3.8000000000000003
C,4.2
C,4.6000000000000005
B,20.8
A,0.0
A,0.0
A,0.0
A,0.0
D,29.6
G,10.5
H,28.7
I,4.8
C,3.8000000000000003
C,4.6000000000000005
B,21.6
A,0.0
D,35.2
G,15.6
G,30.599999999999998
H,3.5
H,3.5
I,1.5
C,1.2000000000000002
C,3.6
B,17.6
A,0.0
A,0.0
A,0.0
D,56.0
G,4.5
H,7.0
I,9.0
C,7.699999999999999
C,12.6
B,16.8
A,0.0
D,12.8
