crossroad,veics
33,B
6,D
18,G
10,E
15,F
28,I
25,H
3,C
23,A
31,B
4,D
17,G
11,E
13,F
26,I
22,H
35,C
12,A
30,B
7,D
20,G
46,E
14,F
29,I
61,H
34,C
0,A
69,B
42,D
19,G
9,E
16,F
27,I
24,H
2,C
1,A
32,B
5,D
54,G
82,E
51,F
62,I
21,H
71,C
37,A
67,B
78,D
56,G
47,E
50,F
64,I
58,H
39,C
36,A
105,B
40,D
55,G
8,E
52,F
65,I
60,H
70,C
48,A
68,B
41,D
53,G
45,E
49,F
63,I
96,H
38,C
72,A
66,B
114,D
90,G
44,E
88,F
99,I
94,H
75,C
59,A
11,B
43,D
92,G
118,E
86,F
100,I
57,H
106,C
73,A
103,B
79,D
6,G
83,E
35,F
98,I
28,H
111,C
84,A
104,B
10,D
42,G
81,E
26,F
14,I
97,H
13,C
95,A
102,B
115,D
91,G
80,E
29,F
21,I
27,H
107,C
32,A
0,B
77,D
5,G
15,E
34,F
101,I
64,H
16,C
7,A
47,B
46,D
78,G
117,E
71,F
50,I
93,H
30,C
43,A
36,B
20,D
24,G
116,E
62,F
86,I
9,H
52,C
68,A
2,B
113,D
89,G
119,E
70,F
35,I
63,H
49,C
11,A
72,B
19,D
60,G
25,E
85,F
57,I
17,H
66,C
79,A
7,B
56,D
96,G
31,E
65,F
34,I
45,H
88,C
108,A
38,B
1,D
28,G
67,E
8,F
18,I
99,H
26,C
104,A
83,B
37,D
27,G
61,E
98,F
71,I
81,H
102,C
47,A
43,B
55,D
41,G
103,E
44,F
93,I
53,H
29,C
2,A
13,B
73,D
114,G
4,E
21,F
9,I
5,H
0,C
109,A
119,B
92,D
64,G
51,E
101,F
54,I
100,H
74,C
3,A
49,B
91,D
23,G
97,E
80,F
17,I
117,H
36,C
115,A
79,B
24,D
77,G
7,E
57,F
70,I
31,H
62,C
39,A
25,B
32,D
59,G
43,E
87,F
45,I
67,H
85,C
20,A
26,B
60,D
113,G
40,E
18,F
