crossroad,amount
C,8.0
C,7.0
C,7.0
C,6.3
C,8.0
C,4.4
C,9.9
C,3.3
C,4.4
C,6.6
C,1.2000000000000002
C,2.4000000000000004
C,9.600000000000001
C,1.3
C,6.5
C,9.799999999999999
B,5.2
A,4.2
A,8.4
A,8.4
D,3.2
D,15.0
D,14.0
D,14.0
G,7.699999999999999
H,0.0
H,7.0
H,9.799999999999999
I,13.5
C,7.0
C,6.0
C,8.0
B,11.899999999999999
A,5.3999999999999995
D,12.6
G,14.7
G,18.9
H,4.199999999999999
I,7.2
I,8.0
C,9.799999999999999
C,7.0
C,13.5
C,8.5
C,17.1
B,12.6
B,17.5
A,12.5
A,26.0
D,15.6
G,16.099999999999998
H,14.7
H,27.299999999999997
I,20.7
C,6.5
C,0.0
C,7.0
C,7.0
C,8.0
C,8.5
C,6.4
C,10.0
C,11.0
B,19.200000000000003
A,11.5
D,13.0
G,19.599999999999998
H,14.0
I,13.5
C,8.0
C,6.800000000000001
C,3.4000000000000004
C,8.0
C,11.899999999999999
C,9.0
C,0.0
C,9.0
C,7.6000000000000005
C,10.5
B,16.099999999999998
A,14.399999999999999
A,25.2
D,26.4
G,32.9
H,24.5
I,3.0
I,15.3
C,8.5
C,3.8000000000000003
C,10.0
C,12.5
C,13.0
C,12.5
C,14.0
C,15.0
B,23.799999999999997
A,19.0
D,28.799999999999997
G,40.599999999999994
H,6.3
H,6.3
H,7.0
I,5.4
I,7.0
I,8.1
C,4.5
C,0.0
C,7.0
C,7.5
C,11.2
B,12.6
B,8.4
B,23.799999999999997
B,28.7
B,32.199999999999996
B,35.0
B,37.099999999999994
B,38.5
A,32.0
D,52.8
G,8.399999999999999
G,1.2000000000000002
G,8.399999999999999
H,4.199999999999999
I,3.6
C,0.6000000000000001
C,1.0
C,0.5
C,1.5
C,1.5
C,3.5
C,5.0
C,5.5
B,8.399999999999999
B,18.9
A,16.0
D,8.4
G,9.1
G,11.2
H,9.799999999999999
H,10.5
H,11.899999999999999
H,12.6
H,14.0
H,13.299999999999999
H,9.0
H,5.7
H,13.299999999999999
H,11.0
H,16.099999999999998
I,22.5
I,39.0
C,13.5
B,28.7
A,7.5
A,9.0
D,11.4
G,10.5
G,10.5
H,3.5
I,3.6
I,6.3
C,4.0
C,23.0
B,12.0
A,8.0
A,9.0
A,13.299999999999999
D,12.6
D,13.799999999999999
D,13.799999999999999
D,14.399999999999999
G,10.0
G,16.799999999999997
G,17.5
G,18.2
H,11.899999999999999
H,10.5
I,0.0
C,5.6000000000000005
C,7.5
C,13.600000000000001
B,11.899999999999999
A,0.0
D,7.6000000000000005
D,11.4
G,8.399999999999999
H,2.8
H,2.0
H,6.3
I,9.9
I,24.3
I,15.600000000000001
I,53.1
C,7.0
C,8.0
B,11.2
B,11.899999999999999
B,12.6
B,14.0
B,14.0
A,10.0
A,12.0
A,10.5
A,11.0
A,12.0
D,16.2
G,18.9
H,7.699999999999999
H,7.0
H,7.699999999999999
I,2.8000000000000003
I,7.0
I,18.2
C,7.0
C,8.0
C,10.0
B,15.399999999999999
A,11.5
D,15.6
D,17.4
G,25.2
G,19.599999999999998
G,18.9
H,9.1
I,3.4000000000000004
I,9.600000000000001
C,7.5
B,3.9
B,11.899999999999999
B,14.0
B,20.8
