id,count,mean,std,min,25%,50%,75%,max
0,42.0,8.857142857142858,21.732937157487232,0.0,0.0,0.0,7.0,134.0
1,54.0,15.055555555555555,23.115311160849494,0.0,0.0,7.0,19.25,141.0
2,50.0,12.9,25.21762422252682,0.0,0.0,7.0,12.25,141.0
3,53.0,6.490566037735849,17.64241244788059,0.0,0.0,0.0,7.0,120.0
4,45.0,20.711111111111112,28.594836010452074,0.0,7.0,7.0,21.0,127.0
5,54.0,10.648148148148149,21.263980890190638,0.0,0.0,7.0,14.0,148.0
6,38.0,5.0,19.54620305977747,0.0,0.0,0.0,0.0,120.0
7,52.0,16.173076923076923,26.189146946738997,0.0,0.0,7.0,14.0,134.0
8,56.0,18.267857142857142,29.566252919305008,0.0,0.0,7.0,21.0,162.0
9,53.0,7.283018867924528,21.20901237907581,0.0,0.0,0.0,7.0,141.0
10,29.0,7.758620689655173,22.420741628510278,0.0,0.0,0.0,7.0,120.0
11,44.0,19.59090909090909,42.12899249277936,0.0,0.0,7.0,21.0,245.0
12,43.0,13.046511627906977,25.048480125331903,0.0,0.0,0.0,14.0,127.0
13,64.0,9.859375,20.761584784832245,0.0,0.0,0.0,7.0,127.0
14,53.0,9.924528301886792,25.973247373021056,0.0,0.0,0.0,7.0,134.0
15,36.0,4.111111111111111,20.06101803110811,0.0,0.0,0.0,0.0,120.0
16,51.0,7.431372549019608,20.342325237750757,0.0,0.0,0.0,7.0,141.0
17,56.0,7.892857142857143,17.7832184135172,0.0,0.0,7.0,7.0,127.0
18,57.0,6.280701754385965,17.146172402906007,0.0,0.0,0.0,7.0,120.0
19,52.0,12.0,21.51789041340106,0.0,0.0,7.0,14.0,141.0
20,56.0,12.017857142857142,21.36564027628436,0.0,0.0,7.0,14.0,134.0
21,55.0,15.672727272727272,24.973359543094855,0.0,0.0,7.0,21.0,148.0
22,37.0,14.216216216216216,26.232015145974177,0.0,0.0,7.0,14.0,127.0
23,55.0,14.654545454545454,20.09073693117578,0.0,7.0,7.0,14.0,120.0
24,49.0,12.306122448979592,24.38083612323473,0.0,0.0,7.0,7.0,141.0
25,40.0,12.8,23.138601336184344,0.0,0.0,7.0,14.0,120.0
26,56.0,16.642857142857142,27.15372304721169,0.0,5.25,7.0,14.0,133.0
27,54.0,19.98148148148148,27.529394746748284,0.0,7.0,7.0,26.25,141.0
28,53.0,12.962264150943396,20.015342446148022,0.0,0.0,7.0,21.0,120.0
29,60.0,13.2,22.565009661352885,0.0,0.0,7.0,14.0,134.0
30,44.0,15.295454545454545,24.092437822970503,0.0,0.0,7.0,21.0,134.0
31,27.0,30.88888888888889,60.53500788376243,0.0,0.0,0.0,31.5,217.0
32,54.0,8.444444444444445,21.466662760263716,0.0,0.0,0.0,14.0,148.0
33,28.0,10.285714285714286,22.838980879606854,0.0,0.0,3.5,14.0,120.0
34,56.0,13.392857142857142,21.304441339289344,0.0,0.0,7.0,15.75,134.0
35,30.0,8.9,24.958379147195686,0.0,0.0,0.0,7.0,127.0
36,39.0,12.41025641025641,26.985101102487477,0.0,0.0,7.0,14.0,155.0
37,53.0,10.716981132075471,21.28504111639346,0.0,0.0,7.0,14.0,148.0
38,50.0,21.16,33.33158090631595,0.0,0.0,7.0,28.0,169.0
39,53.0,13.09433962264151,23.893404425411724,0.0,0.0,7.0,14.0,155.0
40,40.0,20.85,31.513570540405734,0.0,0.0,7.0,24.5,155.0
41,54.0,12.722222222222221,25.0089920935369,0.0,0.0,7.0,14.0,169.0
42,38.0,10.157894736842104,23.435392864027754,0.0,0.0,7.0,12.25,141.0
43,51.0,23.627450980392158,43.697121545618415,0.0,0.0,7.0,21.0,231.0
44,52.0,11.596153846153847,27.493499848812476,0.0,0.0,7.0,7.0,183.0
45,53.0,14.547169811320755,43.643911390380424,0.0,0.0,0.0,7.0,280.0
46,29.0,9.206896551724139,25.42127808176341,0.0,0.0,0.0,7.0,134.0
47,44.0,21.65909090909091,37.2670708078351,0.0,0.0,7.0,15.75,148.0
48,42.0,13.523809523809524,30.70412548370221,0.0,0.0,0.0,12.25,162.0
49,64.0,10.078125,22.1397471254253,0.0,0.0,7.0,14.0,169.0
50,52.0,15.903846153846153,24.48309510052513,0.0,0.0,7.0,21.0,155.0
51,36.0,7.416666666666667,25.85826753670864,0.0,0.0,0.0,0.0,148.0
52,50.0,10.66,24.0548777352358,0.0,0.0,7.0,12.25,162.0
53,55.0,12.363636363636363,23.10472425345697,0.0,3.5,7.0,14.0,169.0
54,56.0,14.392857142857142,25.78489943670595,0.0,0.0,7.0,14.0,148.0
55,51.0,14.843137254901961,26.027963845848262,0.0,0.0,7.0,14.0,162.0
56,54.0,13.75925925925926,27.461077213122966,0.0,0.0,0.0,14.0,155.0
57,55.0,11.727272727272727,26.48091873857585,0.0,0.0,7.0,14.0,176.0
58,36.0,11.694444444444445,26.452998149758205,0.0,0.0,3.5,14.0,155.0
59,55.0,13.89090909090909,27.403482292417543,0.0,0.0,7.0,14.0,176.0
60,49.0,14.020408163265307,32.64613925356665,0.0,0.0,7.0,14.0,162.0
61,40.0,18.05,35.16988076210257,0.0,0.0,7.0,15.75,134.0
62,56.0,18.517857142857142,32.6167782096764,0.0,0.0,7.0,14.0,148.0
63,54.0,17.12962962962963,28.48306103455128,0.0,1.75,7.0,21.0,169.0
64,50.0,14.3,25.761266605950436,0.0,0.0,7.0,19.25,155.0
65,60.0,14.483333333333333,24.414841045496,0.0,0.0,7.0,15.75,162.0
66,44.0,12.113636363636363,27.612952731686768,0.0,0.0,0.0,8.75,169.0
67,27.0,10.407407407407407,30.469731840050024,0.0,0.0,0.0,7.0,155.0
68,52.0,8.634615384615385,26.38034684853803,0.0,0.0,0.0,7.0,183.0
69,28.0,13.285714285714286,28.763218723271414,0.0,0.0,0.0,14.0,141.0
70,54.0,18.944444444444443,28.247836228148998,0.0,0.0,7.0,21.0,162.0
71,30.0,13.1,28.860365376328353,0.0,0.0,0.0,14.0,148.0
72,39.0,15.282051282051283,28.183560641238248,0.0,0.0,7.0,21.0,169.0
73,53.0,14.943396226415095,26.987472232030193,0.0,0.0,7.0,21.0,183.0
74,49.0,15.73469387755102,44.62145201124495,0.0,0.0,0.0,7.0,295.0
75,52.0,16.846153846153847,27.77598385358637,0.0,0.0,7.0,21.0,176.0
76,40.0,23.125,69.1620866571363,0.0,0.0,7.0,14.0,435.0
77,54.0,7.018518518518518,25.826336375761667,0.0,0.0,0.0,7.0,190.0
78,38.0,13.105263157894736,28.75600005421591,0.0,0.0,0.0,12.25,162.0
79,50.0,14.44,29.635307128009128,0.0,0.0,7.0,14.0,197.0
80,51.0,12.235294117647058,29.39155540987521,0.0,0.0,7.0,14.0,204.0
81,49.0,14.306122448979592,29.1620501691501,0.0,0.0,7.0,14.0,190.0
82,29.0,15.482758620689655,31.108819017919263,0.0,0.0,7.0,14.0,169.0
83,43.0,19.72093023255814,33.02547759749487,0.0,0.0,7.0,28.0,176.0
84,37.0,19.324324324324323,38.795084206102175,0.0,0.0,7.0,14.0,190.0
85,61.0,15.39344262295082,36.15627132717301,0.0,0.0,7.0,14.0,239.0
86,51.0,21.294117647058822,33.61148263177158,0.0,7.0,7.0,28.0,190.0
87,36.0,14.61111111111111,63.89244434551276,0.0,0.0,0.0,7.0,386.0
88,50.0,10.52,37.406340180700454,0.0,0.0,0.0,7.0,203.0
89,55.0,9.309090909090909,32.32409531676235,0.0,0.0,0.0,7.0,239.0
90,56.0,18.267857142857142,36.89320758938922,0.0,0.0,3.5,14.0,176.0
91,51.0,19.372549019607842,32.68942384583352,0.0,0.0,7.0,28.0,197.0
92,51.0,14.156862745098039,37.9938797961038,0.0,0.0,7.0,14.0,260.0
93,55.0,13.636363636363637,30.49551493214094,0.0,0.0,7.0,14.0,211.0
94,35.0,20.02857142857143,39.98197072673228,0.0,0.0,7.0,17.5,190.0
95,53.0,24.056603773584907,36.5289216787611,0.0,7.0,14.0,28.0,197.0
96,48.0,14.020833333333334,25.997945568041814,0.0,0.0,7.0,14.0,169.0
97,40.0,23.65,50.07970570078186,0.0,0.0,7.0,15.75,239.0
98,55.0,16.436363636363637,32.62398778697324,0.0,0.0,7.0,14.0,176.0
99,52.0,17.653846153846153,32.8579143272462,0.0,5.25,7.0,15.75,183.0
100,49.0,15.591836734693878,32.92473637413248,0.0,0.0,7.0,14.0,197.0
101,59.0,11.525423728813559,29.579440630394167,0.0,0.0,7.0,14.0,211.0
102,43.0,21.348837209302324,36.97160024675969,0.0,0.0,7.0,28.0,211.0
103,27.0,21.555555555555557,40.74718804203958,0.0,3.5,7.0,21.0,197.0
104,50.0,13.6,31.04834939252005,0.0,0.0,7.0,7.0,190.0
105,27.0,19.74074074074074,41.363856940191894,0.0,0.0,7.0,10.5,162.0
106,53.0,17.849056603773583,30.074520410790296,0.0,7.0,7.0,21.0,183.0
107,30.0,15.2,38.87504296482824,0.0,7.0,7.0,14.0,218.0
108,39.0,16.17948717948718,39.94000223682345,0.0,0.0,0.0,10.5,232.0
109,52.0,17.653846153846153,37.07749415956178,0.0,0.0,7.0,21.0,260.0
110,49.0,19.73469387755102,71.97417809829557,0.0,0.0,0.0,7.0,491.0
111,51.0,18.41176470588235,40.24732362311225,0.0,0.0,7.0,21.0,210.0
112,39.0,24.256410256410255,83.2278792955689,0.0,0.0,0.0,21.0,519.0
113,54.0,10.907407407407407,30.705090548709872,0.0,0.0,0.0,7.0,218.0
114,38.0,14.394736842105264,31.98440453897274,0.0,0.0,7.0,14.0,176.0
115,47.0,31.4468085106383,45.04770829023009,0.0,0.0,14.0,42.0,211.0
116,51.0,14.843137254901961,35.20532490917793,0.0,0.0,7.0,17.5,246.0
117,49.0,23.591836734693878,47.90003408460293,0.0,0.0,7.0,28.0,231.0
118,29.0,31.655172413793103,49.142123233149675,0.0,0.0,14.0,35.0,197.0
119,43.0,26.3953488372093,45.819074596713804,0.0,0.0,14.0,28.0,218.0
